Date,GL Account,Credit,Debit,Property Name,Property,Payee / Payer,Type,Reference,Balance,Description
07/13/2025,1150 - OPERATING CASH IN BANK,,"1,575.00",Clear Lake Palms,,,,,,
07/13/2025,1150 - OPERATING CASH IN BANK,,10.50,Clear Lake Palms,,,,,,
07/13/2025,1150 - OPERATING CASH IN BANK,,4.50,Clear Lake Palms,,,,,,
07/13/2025,1150 - OPERATING CASH IN BANK,,150.00,Clear Lake Palms,,,,,,
07/13/2025,1150 - OPERATING CASH IN BANK,,9.50,Azure Villas,,,,,,
07/13/2025,1150 - OPERATING CASH IN BANK,,3.00,Azure Villas,,,,,,
07/13/2025,1150 - OPERATING CASH IN BANK,,22.50,Azure Villas,,,,,,
07/13/2025,1150 - OPERATING CASH IN BANK,,10.00,Infinity Magnolia LLC,,,,,,
07/13/2025,1150 - OPERATING CASH IN BANK,,10.50,Roselea Manor Apartments,,,,,,
07/13/2025,1150 - OPERATING CASH IN BANK,,4.50,Roselea Manor Apartments,,,,,,
07/13/2025,1150 - OPERATING CASH IN BANK,,70.00,Buena Vista,,,,,,
07/13/2025,1150 - OPERATING CASH IN BANK,,10.50,Lakeside Condominiums,,,,,,
07/13/2025,1150 - OPERATING CASH IN BANK,,4.50,Lakeside Condominiums,,,,,,
07/13/2025,1150 - OPERATING CASH IN BANK,,"1,900.00",Lakeside Condominiums,,,,,,
07/13/2025,1150 - OPERATING CASH IN BANK,,150.00,Lakeside Condominiums,,,,,,
07/13/2025,2101 - Allocated Security Deposit,,"1,100.00",University Townhomes,,,,,,
07/13/2025,2101 - Allocated Security Deposit,,350.00,University Townhomes,,,,,,
07/13/2025,4100 - Rent Income,"1,575.00",,Clear Lake Palms,,,,,,
07/13/2025,4100 - Rent Income,"1,085.00",,University Townhomes,,,,,,
07/13/2025,4100 - Rent Income,"1,900.00",,Lakeside Condominiums,,,,,,
07/13/2025,4111 - Administration Fee Income,9.50,,University Townhomes,,,,,,
07/13/2025,4215 - Renters Insurance Income,10.50,,Clear Lake Palms,,,,,,
07/13/2025,4215 - Renters Insurance Income,4.50,,Clear Lake Palms,,,,,,
07/13/2025,4215 - Renters Insurance Income,9.50,,Azure Villas,,,,,,
07/13/2025,4215 - Renters Insurance Income,3.00,,Azure Villas,,,,,,
07/13/2025,4215 - Renters Insurance Income,10.50,,Roselea Manor Apartments,,,,,,
07/13/2025,4215 - Renters Insurance Income,4.50,,Roselea Manor Apartments,,,,,,
07/13/2025,4215 - Renters Insurance Income,10.50,,University Townhomes,,,,,,
07/13/2025,4215 - Renters Insurance Income,4.50,,University Townhomes,,,,,,
07/13/2025,4215 - Renters Insurance Income,10.50,,Lakeside Condominiums,,,,,,
07/13/2025,4215 - Renters Insurance Income,4.50,,Lakeside Condominiums,,,,,,
07/13/2025,4215 - Renters Insurance Income,3.00,,University Townhomes,,,,,,
07/13/2025,4300 - Prepaid Rent,10.50,,Roselea Manor Apartments,,,,,,
07/13/2025,4300 - Prepaid Rent,4.50,,Roselea Manor Apartments,,,,,,
07/13/2025,4550 - Application Fee Income,10.00,,Infinity Magnolia LLC,,,,,,
07/13/2025,4550 - Application Fee Income,70.00,,Buena Vista,,,,,,
07/13/2025,5680 - Late Fee,150.00,,Clear Lake Palms,,,,,,
07/13/2025,5680 - Late Fee,150.00,,Lakeside Condominiums,,,,,,
07/13/2025,5700 - Miscellaneous Income,337.50,,University Townhomes,,,,,,
07/13/2025,6430 - Water & Sewer,22.50,,Azure Villas,,,,,,
05/09/2025,1025 - Infinity Magnolia Vallley Bank,,"74,000.00",Infinity Magnolia LLC,,,,,,
05/12/2025,1025 - Infinity Magnolia Vallley Bank,"29,017.34",,Infinity Magnolia LLC,,,,,,
05/12/2025,1025 - Infinity Magnolia Vallley Bank,"44,589.78",,Infinity Magnolia LLC,,,,,,
05/15/2025,1025 - Infinity Magnolia Vallley Bank,105.30,,Infinity Magnolia LLC,,,,,,
05/09/2025,1026 - University Townhomes Valley Bank,,"42,000.00",University Townhomes,,,,,,
05/14/2025,1026 - University Townhomes Valley Bank,"16,506.82",,University Townhomes,,,,,,
